FIPSCode,Jurisdiction,State,Registered_Eligible_Total,Active_Registered_Total,Inactive_Registered_Total,Same_Day_Registration_Total,Same_Day_Comment,Voters_Removed_Rolls_Total,Voters_Moved_Removed,Voters_Died_Removed,Voter_Felony_Removed,Longterm_Inactive_Removed,Mentally_Incompetent_Removed,Voter_Request_Removed,Other1_Comment_Removed,Other1_Comment_Removed,Other2_Comment_Removed,Other2_Removed,Other3_Comment_Removed,Other3_Removed,Absentee_UOCAVA_Total,UOCAVA_Rejected,Missed_Deadline_UOCAVA,Voter_Signature_Problem_UOCAVA,No_Postmark_UOCAVA,Other_UOCAVA,Absentee_Civilian_Total,Civilian_Absentee_Counted,Civilian_Absentee_Rejected,Missed_Deadline_Civilian,No_Voter_Signature_Civilian,No_Witness_Signature_Civilian,Non-matching_Signature_Civilian,No_Official_Signature_Civilian,Unofficial_Envelope_Civilian,Ballot_Missing_Civilian,Envelope_Unsealed_Civilian,No_Address_Envelope_Civilian,Multiple_Ballots_Envelope_Civilian,Voter_Deceased_Civilian,Voted_In_Person_Civilian,Improper_ID_Civilian,No_Ballot_Application_Civilian,Other1_Comment_Civilian,Other1_Civilian,Other2_Comment_Civilian,Other2_Civilian,Other3_Comment_Civilian,Other3_Civilian,Precincts_Total,Polling_Places_Total,Poll_Workers_Total,Provisional_Ballot_Total,Counted_Full_Provisional,Counted_Partial_Provisional,Rejected_Provisional,Participated_Total,In_Person_Participated,UOCAVA_Absentee_Participated,Civilian_Absentee_Participated,Provisional_Participated,Early_Vote_Participated,Mail_Jurisdictoin_Participated,Other1_Comment_Participated,Other1_Participated
103700000,COOSA COUNTY,AL,8403,7937,466,-88,,345,22,266,15,0,0,1,DUPLICATE PROFILES,40,UNKNOWN,1,VALID SKIP,-77,-99,0,0,0,0,-77,220,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,14,12,80,26,7,-88,17,5494,5119,0,368,7,-99,-88,VALID SKIP,-77
103900000,COVINGTON COUNTY,AL,28338,26671,1667,-88,,1486,52,940,30,1,0,5,DUPLICATE PROFILES,456,OTHER - SEE NOTES,1,CONFIRMATION MAILING PROCESS,1,-99,0,0,0,0,-77,669,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,27,25,148,75,46,-88,28,17525,15952,4,1523,46,-99,-88,VALID SKIP,-77
104100000,CRENSHAW COUNTY,AL,10619,10082,537,-88,,471,20,382,9,0,0,1,DUPLICATE PROFILES,59,VALID SKIP,-77,VALID SKIP,-77,-99,0,0,0,0,-77,288,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,20,18,92,10,5,-88,5,6645,6150,7,483,5,-99,-88,VALID SKIP,-77
104300000,CULLMAN COUNTY,AL,62707,59713,2994,-88,,2404,97,1778,51,0,0,0,DUPLICATE PROFILES,477,OTHER - SEE NOTES,1,VALID SKIP,-77,-99,0,0,2,0,-77,1504,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,51,49,240,78,47,-88,31,41985,39103,40,2795,47,-99,-88,VALID SKIP,-77
104500000,DALE COUNTY,AL,35835,33233,2602,-88,,1576,141,1001,64,0,0,1,DUPLICATE PROFILES,367,NOT A US CITIZEN,1,OTHER - SEE NOTES,1,-99,0,0,0,0,-77,956,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,21,19,118,66,28,-88,38,19838,17773,118,1919,28,-99,-88,VALID SKIP,-77
104700000,DALLAS COUNTY,AL,31849,29939,1910,-88,,1339,36,999,45,0,0,0,DUPLICATE PROFILES,258,NOT A US CITIZEN,1,VALID SKIP,-77,-99,0,0,0,0,-77,1333,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,31,29,182,48,11,-88,37,17949,14936,17,2985,11,-99,-88,VALID SKIP,-77
104900000,DEKALB COUNTY,AL,45221,43262,1959,-88,,1777,78,1407,84,1,0,1,DUPLICATE PROFILES,203,OTHER - SEE NOTES,2,CONFIRMATION MAILING PROCESS,1,-99,0,0,0,0,-77,1106,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,46,44,384,66,26,-88,40,29451,27319,30,2076,26,-99,-88,VALID SKIP,-77
105100000,ELMORE COUNTY,AL,60857,58217,2640,-88,,2137,179,1333,20,0,0,0,DUPLICATE PROFILES.,600,OTHER - SEE NOTES,4,CONFIRMATION MAILING PROCESS,1,-99,0,0,0,0,-77,2276,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,31,29,250,117,55,-88,62,41149,36933,102,4059,55,-99,-88,VALID SKIP,-77
105300000,ESCAMBIA COUNTY,AL,27240,25618,1622,-88,,1409,87,771,86,7,0,0,DUPLICATE PROFILES,457,OTHER - SEE NOTES,1,VALID SKIP,-77,-99,1,2,0,0,-77,669,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,31,29,144,137,49,-88,88,15956,14637,24,1246,49,-99,-88,VALID SKIP,-77
105500000,ETOWAH COUNTY,AL,76054,72712,3342,-88,,3273,192,2310,146,3,28,4,DUPLICATES,582,OTHER - SEE NOTES,8,VALID SKIP,-77,-99,0,0,0,0,-77,2652,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,33,31,338,470,220,-88,250,47869,41781,51,5817,220,-99,-88,VALID SKIP,-77
105700000,FAYETTE COUNTY,AL,13043,12573,470,-88,,540,18,420,25,0,0,0,DUPLICATE PROFILES,77,VALID SKIP,-77,VALID SKIP,-77,-99,3,0,0,0,-77,336,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,28,26,137,27,10,-88,17,8815,8322,9,474,10,-99,-88,VALID SKIP,-77
105900000,FRANKLIN COUNTY,AL,19744,19303,441,-88,,946,42,595,49,84,0,2,DUPLICATE PROFILES,169,NOT A US CITIZEN,2,OTHER - SEE NOTES,3,-99,0,0,0,0,-77,395,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,26,24,115,46,38,-88,8,12665,11883,7,737,38,-99,-88,VALID SKIP,-77
106100000,GENEVA COUNTY,AL,20112,18917,1195,-88,,864,60,609,60,0,0,0,DUPLICATE PROFILE,134,OTHER - SEE NOTES,1,VALID SKIP,-77,-99,0,0,0,0,-77,448,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,23,21,113,14,5,-88,9,12600,11854,14,727,5,-99,-88,VALID SKIP,-77
106300000,GREENE COUNTY,AL,7045,6701,344,-88,,287,11,218,17,0,0,0,DUPLICATE PROFILES,40,OTHER - SEE NOTES,1,VALID SKIP,-77,-99,0,0,0,0,-77,364,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,16,14,73,7,4,-88,3,4801,3967,4,826,4,-99,-88,VALID SKIP,-77
106500000,HALE COUNTY,AL,12561,11891,670,-88,,554,18,411,40,0,0,0,DUPLICATE,82,OTHER - SEE NOTES,3,VALID SKIP,-77,-99,0,0,0,0,-77,606,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,16,14,72,41,41,-88,0,7957,6464,4,1448,41,-99,-88,VALID SKIP,-77
106700000,HENRY COUNTY,AL,14070,13418,652,-88,,589,29,376,13,2,0,0,DUPLICATE PROFILES,165,CONFIRMATION MAILING PROCESS,4,VALID SKIP,-77,-99,0,2,0,0,-77,649,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,16,14,90,30,19,-88,11,9339,8173,14,1133,19,-99,-88,VALID SKIP,-77
106900000,HOUSTON COUNTY,AL,80366,74275,6091,-88,,3891,304,2125,245,1,0,4,DUPLICATE PROFILES,1205,OTHER - SEE NOTES,6,NOT A US CITIZEN,1,-99,3,0,7,0,-77,3131,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,29,27,262,467,358,-88,108,46311,40068,118,5767,358,-99,-88,VALID SKIP,-77
107100000,JACKSON COUNTY,AL,39655,37461,2194,-88,,1585,67,1331,62,0,0,1,DUPLICATE PROFILES,123,NOT A US CITIZEN,1,VALID SKIP,-77,-99,0,0,0,0,-77,967,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,32,30,166,44,33,-88,11,22270,21021,16,1200,33,-99,-88,VALID SKIP,-77
107300000,JEFFERSON COUNTY,AL,505586,481532,24054,-88,,17170,792,12329,1083,5,0,16,DUPLICATES PROFILES,2939,NOT A US CITIZEN,4,OTHER - SEE NOTES,2,-99,3,3,0,0,-77,29053,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,175,172,1911,1894,1186,-88,694,326374,276351,608,48229,1186,-99,-88,VALID SKIP,-77
107500000,LAMAR COUNTY,AL,11213,10465,748,-88,,481,26,385,17,1,0,0,DUPLICATES PROFILES,52,VALID SKIP,-77,VALID SKIP,-77,-99,0,0,0,0,-77,231,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,27,25,131,34,23,-88,11,7231,6729,7,472,23,-99,-88,VALID SKIP,-77
107700000,LAUDERDALE COUNTY,AL,68218,63953,4265,-88,,2380,162,1950,44,0,11,0,DUPLICATE,208,NOT A US CITIZEN,2,OTHER - SEE NOTES,3,-99,0,0,0,0,-77,1373,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,33,31,229,309,187,-88,122,44510,38945,77,5301,187,-99,-88,VALID SKIP,-77
107900000,LAWRENCE COUNTY,AL,25471,24597,874,-88,,1474,24,770,77,2,1,0,DUPLICATE PROFILE,600,VALID SKIP,-77,VALID SKIP,-77,-99,1,0,0,0,-77,528,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,31,29,390,92,54,-88,38,16086,15151,13,868,54,-99,-88,VALID SKIP,-77
108100000,LEE COUNTY,AL,124082,115214,8868,-88,,4383,836,2054,106,0,1,7,DUPLICATE,1371,CONFIRMATION MAILING PROCESS,4,"NOT A US CITIZEN, OTHER - SEE NOTES",4,-99,9,8,0,0,1,8150,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,24,22,400,535,323,-88,212,71625,58539,209,12554,323,-99,-88,VALID SKIP,-77
108300000,LIMESTONE COUNTY,AL,71614,69002,2612,-88,,2347,258,1463,83,1,1,5,DUPLICATE REGISTRATIONS,533,NOT A US CITIZEN,2,OTHER - SEE NOTES,1,-99,0,0,0,0,-77,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,27,25,257,607,398,-88,206,49383,41829,137,7019,398,-99,-88,VALID SKIP,-77
108500000,LOWNDES COUNTY,AL,10361,9767,594,-88,,397,16,286,11,0,0,0,OTHER - SEE NOTES,2,DUPLICATE REGISTRATION,82,VALID SKIP,-77,-99,0,0,0,0,-77,1264,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,14,12,73,43,25,-88,12,6896,5337,17,1517,25,-99,-88,VALID SKIP,-77
108700000,MACON COUNTY,AL,17990,15581,2409,-88,,728,28,576,23,0,0,7,DUPLICATE REGISTRANT,89,NOT A US CITIZEN,1,OTHER - SEE NOTES,4,-99,0,0,0,0,-77,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,16,14,128,65,25,-88,40,8771,7175,2,1569,25,-99,-88,VALID SKIP,-77
108900000,MADISON COUNTY,AL,303191,280583,22608,-88,,7417,953,5679,203,0,2,32,NOT A US CITIZEN,4,DUPLICATE,533,"OTHER - SEE NOTES, PURGED",11,-99,-99,0,1,0,-77,22055,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,75,72,945,1019,789,-88,230,195374,156849,800,36936,789,-99,-88,VALID SKIP,-77
109100000,MARENGO COUNTY,AL,16366,15164,1202,-88,,647,28,554,13,0,0,0,DUPLICATE,52,VALID SKIP,-77,VALID SKIP,-77,-99,0,0,0,0,-77,748,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,21,19,131,25,14,-88,10,10942,9788,12,1128,14,-99,-88,VALID SKIP,-77
109300000,MARION COUNTY,AL,22074,20652,1422,-88,,1030,23,860,10,0,0,1,DUPLICATE,135,OTHER - SEE NOTES,1,VALID SKIP,-77,-99,3,0,0,0,-77,432,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,22,20,111,36,21,-88,15,13855,12949,12,873,21,-99,-88,VALID SKIP,-77
109500000,MARSHALL COUNTY,AL,64249,2537,61712,-88,,2744,175,1856,187,1,3,4,DUPLICATE,515,NOT A US CITIZEN,2,OTHER - SEE NOTES,1,-99,1,0,0,0,-77,1823,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,30,28,221,154,91,-88,63,39751,36478,60,3122,91,-99,-88,VALID SKIP,-77
109700000,MOBILE COUNTY,AL,315446,287213,28233,-88,,11851,725,8159,456,4,60,40,DUPLICATE,2397,NOT A US CITIZEN,2,OTHER - SEE NOTES,8,-99,0,0,0,0,-77,14976,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,87,85,1006,2918,1392,-88,1501,183803,158687,463,23261,1392,-99,-88,VALID SKIP,-77
109900000,MONROE COUNTY,AL,16916,15846,1070,-88,,847,88,550,54,4,0,1,DUPLICATE REGISTRATION,148,OTHER - SEE NOTES,2,VALID SKIP,-77,-99,0,0,0,0,-77,1062,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,31,29,148,69,49,-88,20,10708,9402,5,1252,49,-99,-88,VALID SKIP,-77
110100000,MONTGOMERY COUNTY,AL,165578,155858,9720,-88,,7293,291,3778,455,1,0,41,DUPLICATE,2722,NOT A US CITIZEN,1,OTHER - SEE NOTES,4,-99,2,3,0,0,-77,12016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,51,49,698,925,383,-88,542,99326,74690,353,23900,383,-99,-88,VALID SKIP,-77
110300000,MORGAN COUNTY,AL,85651,82693,2958,-88,,2996,194,2320,132,2,13,6,DUPLICATE,328,OTHER - SEE NOTES,1,VALID SKIP,-77,-99,2,1,0,0,-77,3202,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,41,39,313,341,239,-88,102,53905,48665,84,4917,239,-99,-88,VALID SKIP,-77
110500000,PERRY COUNTY,AL,8206,7758,448,-88,,444,50,302,24,1,1,0,DUPLICATE,65,OTHER - SEE NOTES,1,VALID SKIP,-77,-99,0,0,0,0,-77,987,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,VALID SKIP,-77,VALID SKIP,-77,VALID SKIP,-77,14,12,88,24,15,-88,8,5258,4035,1,1207,15,-99,-88,VALID SKIP,-77
