FIPSCode,Jurisdiction,State,Registered_Eligible_Total,Active_Registered_Total,Inactive_Registered_Total,Same_Day_Registration_Total,Same_Day_Comment,Voters_Removed_Rolls_Total,Voters_Moved_Removed,Voters_Died_Removed,Voter_Felony_Removed,Longterm_Inactive_Removed,Mentally_Incompetent_Removed,Voter_Request_Removed,Other1_Comment_Removed,Other1_Comment_Removed,Other2_Comment_Removed,Other2_Removed,Other3_Comment_Removed,Other3_Removed,Absentee_UOCAVA_Total,UOCAVA_Rejected,Missed_Deadline_UOCAVA,Voter_Signature_Problem_UOCAVA,No_Postmark_UOCAVA,Other_UOCAVA,Absentee_Civilian_Total,Civilian_Absentee_Counted,Civilian_Absentee_Rejected,Missed_Deadline_Civilian,No_Voter_Signature_Civilian,No_Witness_Signature_Civilian,Non-matching_Signature_Civilian,Unofficial_Envelope_Civilian,Ballot_Missing_Civilian,Secrecy_Envelope_Rejected_Civilian,Multiple_Ballots_Envelope_Civilian,Envelope_Unsealed_Civilian,No_Postmark_Civilian,No_Address_Envelope_Civilian,Voter_Deceased_Civilian,Voted_In_Person_Civilian,Improper_ID_Civilian,Rejected_Jurisdiction_Eligibility_Civilian,No_Ballot_Application_Civilian,Other1_Comment_Civilian,Other1_Civilian,Other2_Comment_Civilian,Other2_Civilian,Other3_Comment_Civilian,Other3_Civilian,Precincts_Total,Polling_Places_Total,Poll_Workers_Total,Provisional_Ballot_Total,Counted_Full_Provisional,Counted_Partial_Provisional,Rejected_Provisional,Participated_Total,In_Person_Participated,UOCAVA_Absentee_Participated,Civilian_Absentee_Participated,Provisional_Participated,Early_Vote_Participated,Mail_Jurisdictoin_Participated,Other1_Comment_Participated,Other1_Participated
102100000,CHILTON COUNTY,AL,30024,27448,2576,-88,,2386,78,971,25,1229,1,5,DUPLICATE PROFILES,43,OTHER,1,,,4,0,0,0,0,0,150,146,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,19,18,-99,8,4,-88,4,12276,11992,6,146,4,-88,-88,,
102300000,CHOCTAW COUNTY,AL,10737,9607,1130,-88,,770,37,411,13,279,0,3,DUPLICATE PROFILES,25,,,,,0,0,-77,-77,-77,-77,160,125,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,48,48,-99,4,4,-88,0,4913,4630,3,125,4,-88,-88,,
102500000,CLARKE COUNTY,AL,19060,17130,1930,-88,,1445,63,709,10,593,0,2,DUPLICATE PROFILES,64,,,,,4,0,0,0,0,0,428,335,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,53,29,-99,13,12,-88,1,9097,8610,9,335,12,-88,-88,,
102700000,CLAY COUNTY,AL,10363,9684,679,-88,,743,69,406,16,234,0,0,DUPLICATE PROFILES,16,OTHER,2,,,0,0,-77,-77,-77,-77,74,65,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,25,25,-99,12,7,-88,5,4253,4078,0,65,7,-88,-88,,
102900000,CLEBURNE COUNTY,AL,11393,10094,1299,-88,,1356,304,376,9,590,0,3,DUPLICATE PROFILES,70,,,,,0,0,-77,-77,-77,-77,72,59,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,14,14,65,2,1,-88,1,4634,4464,0,59,1,-88,-88,,
103100000,COFFEE COUNTY,AL,36999,32183,4816,-88,,3866,272,1050,29,2343,0,31,DUPLICATE PROFILES,116,NOT A US CITIZEN,3,OTHER,4,18,0,0,0,0,0,184,175,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,28,27,170,68,45,-88,23,14076,13470,20,175,45,-88,-88,,
103300000,COLBERT COUNTY,AL,43605,39863,3742,-88,,3484,154,1462,200,1452,2,0,DUPLICATE PROFILES,203,NOT A US CITIZEN,1,OTHER,2,4,0,0,0,0,0,174,164,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,17,34,-99,31,18,-88,13,17392,16852,4,164,18,-88,-88,,
103500000,CONECUH COUNTY,AL,9878,8914,964,-88,,1116,73,375,33,505,0,0,DUPLICATE PROFILES,129,NOT A US CITIZEN,1,,,1,0,0,0,0,0,218,199,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,31,31,-99,5,3,-88,2,4489,4218,0,199,3,-88,-88,,
103700000,COOSA COUNTY,AL,8168,7544,624,-88,,706,50,325,13,288,1,1,DUPLICATE PROFILES,28,,,,,0,0,-77,-77,-77,-77,33,36,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,20,12,-99,5,3,-88,2,3863,3749,0,36,3,-88,-88,,
103900000,COVINGTON COUNTY,AL,27976,25118,2858,-88,,2660,97,1005,39,1380,0,3,DUPLICATE PROFILES,131,NOT A US CITIZEN,2,OTHER,1,3,0,0,0,0,0,141,94,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,26,25,-99,35,19,-88,16,11317,10959,1,94,19,-88,-88,,
104100000,CRENSHAW COUNTY,AL,10521,9593,928,-88,,825,21,358,1,974,0,1,DUPLICATE PROFILES,26,OTHER,1,,,0,0,-77,-77,-77,-77,88,95,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,18,18,-99,9,8,-88,1,4638,4429,0,95,8,-88,-88,,
104300000,CULLMAN COUNTY,AL,63541,58386,5155,-88,,4333,182,2128,80,1828,1,4,DUPLICATE PROFILES,101,OTHER,2,,,8,0,0,0,0,0,404,343,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,49,49,-99,34,28,-88,6,26346,25534,5,366,28,-88,-88,,
104500000,DALE COUNTY,AL,35211,30211,5000,-88,,3549,242,1080,49,1986,1,3,DUPLICATE PROFILES,187,,,,,21,0,0,0,0,0,149,154,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,19,19,-99,6,2,-88,4,12064,11634,25,154,2,-88,-88,,
104700000,DALLAS COUNTY,AL,29885,26765,3120,-88,,2838,81,1144,31,1457,0,4,DUPLICATE PROFILES,120,NOT A US CITIZEN,1,,,4,0,0,0,0,0,407,357,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,30,30,-99,5,0,-88,5,12954,12264,7,357,0,-88,-88,,
104900000,DEKALB COUNTY,AL,45642,41181,4461,-88,,3259,167,1617,105,1275,0,2,DUPLICATE PROFILES,86,OTHER,7,,,0,0,-77,-77,-77,-77,178,154,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,45,45,-99,12,4,-88,8,17201,16769,0,154,4,-88,-88,,
105100000,ELMORE COUNTY,AL,61033,55920,5113,-88,,4460,734,1642,11,1878,0,2,DUPLICATE PROFILES,141,NOT A US CITIZEN,1,OTHER,6,13,0,0,0,0,0,219,242,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,29,29,-99,47,18,-88,29,25896,25229,6,242,18,-88,-88,,
105300000,ESCAMBIA COUNTY,AL,26854,23635,3219,-88,,2651,305,858,107,1158,1,1,DUPLICATE PROFILES,199,,,,,-99,0,0,0,0,0,150,136,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,30,29,-99,14,11,-88,3,9741,9401,15,136,11,-88,-88,,
105500000,ETOWAH COUNTY,AL,75145,68609,6536,-88,,6123,222,2980,150,2345,1,2,DUPLICATE PROFILES,412,NOT A US CITIZEN,1,OTHER,8,13,0,0,0,0,0,380,268,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,32,32,245,174,102,-88,72,25890,25065,15,268,102,-88,-88,,
105700000,FAYETTE COUNTY,AL,12610,11772,838,-88,,1048,67,539,30,393,0,0,DUPLICATE PROFILES,18,,,,,3,0,0,0,0,0,86,72,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,25,24,-99,8,4,-88,4,5545,5413,1,72,4,-88,-88,,
105900000,FRANKLIN COUNTY,AL,19386,18432,954,-88,,1636,469,753,60,233,1,8,DUPLICATE PROFILES,74,NOT A US CITIZEN,5,OTHER,4,2,0,0,0,0,0,79,72,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,20,24,-99,16,9,-88,7,7510,7314,3,72,9,-88,-88,,
106100000,GENEVA COUNTY,AL,19800,17692,2108,-88,,1832,131,817,42,767,0,6,DUPLICATE PROFILES,53,OTHER,3,,,3,0,0,0,0,0,85,68,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,30,21,-99,4,3,-88,1,8013,7851,2,68,3,-88,-88,,
106300000,GREENE COUNTY,AL,6613,6037,576,-88,,588,31,273,22,231,1,0,DUPLICATE PROFILES,28,,,,,3,0,0,0,0,0,138,116,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,14,14,76,1,1,-88,0,3009,2815,0,116,1,-88,-88,,
106500000,HALE COUNTY,AL,11992,11180,812,-88,,1091,27,452,49,479,0,0,DUPLICATE PROFILES,83,OTHER,1,,,-99,0,2,0,0,0,192,186,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,41,14,-99,2,0,-88,2,5286,4972,0,186,0,-88,-88,,
106700000,HENRY COUNTY,AL,14162,12948,1214,-88,,1079,88,446,24,458,0,0,DUPLICATE PROFILES,62,NOT A US CITIZEN,1,,,-99,-99,0,0,0,0,130,127,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,31,14,-99,6,3,-88,3,6749,6467,4,127,3,-88,-88,,
106900000,HOUSTON COUNTY,AL,79068,69925,9143,-88,,8329,1050,2365,394,3990,2,5,DUPLICATE PROFILES,501,NOT A US CITIZEN,2,OTHER,17,-99,2,0,0,0,0,494,347,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,83,27,237,164,139,-88,25,27779,26802,17,347,139,-88,-88,,
107100000,JACKSON COUNTY,AL,39179,35390,3789,-88,,3238,100,1340,69,1676,0,4,DUPLICATE PROFILES,48,,,,,4,0,0,0,0,0,119,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,36,36,159,21,14,-88,7,13459,13109,9,0,14,-88,-88,,
107300000,JEFFERSON COUNTY,AL,486573,435225,51348,-88,,40337,3075,13851,478,21359,2,47,DUPLICATE PROFILES,1442,NOT A US CITIZEN,2,OTHER,3,75,7,0,0,0,0,4909,3782,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,183,178,1568,356,216,-88,140,198864,192670,53,3782,216,-88,-88,,
107500000,LAMAR COUNTY,AL,10744,10015,729,-88,,1128,35,449,17,556,0,1,DUPLICATE PROFILE,57,,,,,-99,0,-77,-77,-77,-77,47,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,25,25,114,3,1,-88,2,4395,4271,0,123,1,-88,-88,,
107700000,LAUDERDALE COUNTY,AL,67340,60645,6695,-88,,5726,487,2133,75,2903,7,6,DUPLICATE PROFILE,108,OTHER,1,,,5,0,0,0,0,0,327,339,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,33,31,-99,169,105,-88,64,25769,24833,0,831,105,-88,-88,,
107900000,LAWRENCE COUNTY,AL,25342,23767,1575,-88,,1960,97,945,61,626,0,1,DUPLICATE PROFILE,226,OTHER,2,,,-99,0,-99,-99,-99,-99,284,112,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,36,36,-99,50,34,-88,16,10930,10622,2,272,34,-88,-88,,
108100000,LEE COUNTY,AL,123810,104701,19109,-88,,10874,723,2006,107,7529,3,13,DUPLICATE PROFILE,475,NOT A US CITIZEN,5,OTHER ,11,23,0,0,0,0,3,915,734,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,22,22,-99,166,81,-88,85,40635,39059,16,1479,81,-88,-88,,
108300000,LIMESTONE COUNTY,AL,74977,68528,6449,-88,,4833,661,1710,136,1837,1,10,DUPLICATE PROFILE,468,NOT A US CITIZEN,2,OTHER ,6,17,0,0,0,0,0,2,345,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,25,25,232,279,168,-88,64,31554,30279,0,1106,168,-88,-88,,
108500000,LOWNDES COUNTY,AL,9767,8851,916,-88,,756,24,315,16,327,0,0,DUPLICATE PROFILE,46,OTHER ,2,,,-99,-99,-99,-99,-99,-99,374,330,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,19,12,68,6,5,-88,1,4060,3646,0,402,5,-88,-88,,
108700000,MACON COUNTY,AL,16659,12853,3806,-88,,1961,126,469,23,1239,0,22,DUPLICATE PROFILE,76,OTHER ,1,,,1,-99,-99,-99,-99,-99,0,92,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,14,15,99,14,6,-88,8,5426,5150,4,266,6,-88,-88,,
108900000,MADISON COUNTY,AL,309787,268433,41354,-88,,24136,1352,6254,239,15804,0,55,DUPLICATE PROFILE,371,NOT A US CITIZEN,6,OTHER ,5,116,-99,0,1,0,0,2367,2009,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,75,74,-99,428,352,-88,76,121097,116296,56,4393,352,-88,-88,,
109100000,MARENGO COUNTY,AL,15664,13968,1696,-88,,1396,50,594,17,708,0,0,DUPLICATE PROFILE,26,,,,,0,0,-77,-77,-77,-77,249,225,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,19,18,-99,8,5,-88,3,7354,6997,0,352,5,-88,-88,,
109300000,MARION COUNTY,AL,21950,20010,1940,-88,,1726,31,822,34,680,0,0,DUPLICATE PROFILE,93,,,,,2,0,0,0,0,0,81,70,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,23,15,-99,4,1,-88,3,8464,8300,5,157,1,-88,-88,,
109500000,MARSHALL COUNTY,AL,65032,59507,5525,-88,,4851,311,2185,207,1902,2,8,DUPLICATE PROFILE,231,NOT A US CITIZEN,3,OTHER ,1,8,0,0,0,0,0,270,232,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,48,30,181,71,16,-88,55,24363,23708,14,625,16,-88,-88,,
109700000,MOBILE COUNTY,AL,311434,268090,43344,-88,,22766,1015,9197,610,10454,91,145,DUPLICATE PROFILE,1224,NOT A US CITIZEN,16,OTHER ,16,44,0,0,0,0,0,2787,2485,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,80,80,962,1166,691,-88,475,108131,104012,23,3405,105,-88,-88,,
109900000,MONROE COUNTY,AL,16173,14516,1657,-88,,1541,16,588,31,842,0,22,DUPLICATE PROFILE,38,,,,,-99,-99,-99,-99,-99,-99,597,193,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,79,29,-99,0,0,-88,0,7051,6442,0,606,3,-88,-88,,
110100000,MONTGOMERY COUNTY,AL,159189,141542,17647,-88,,17110,1543,4293,382,8891,4,123,DUPLICATE PROFILE,949,OTHER,4,NOT A US CITIZEN,3,-99,0,0,0,0,0,1800,1466,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,50,50,529,478,224,-88,254,58171,55327,43,2557,224,-88,-88,,
110300000,MORGAN COUNTY,AL,85888,79388,6500,-88,,6043,559,2725,164,2353,10,2,DUPLICATE PROFILE,217,NOT A US CITIZEN,2,OTHER,2,-99,1,0,0,0,0,411,378,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,40,39,-99,123,75,-88,48,32296,31457,31,728,80,-88,-88,,
110500000,PERRY COUNTY,AL,7770,7029,741,-88,,662,18,297,20,296,0,2,DUPLICATE PROFILES,27,OTHER,1,,,2,0,0,0,0,0,358,344,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,15,15,-99,6,5,-88,0,3227,2809,1,344,5,-88,-88,,
110700000,PICKENS COUNTY,AL,13914,12786,1128,-88,,1079,31,517,19,419,0,0,DUPLICATE PROFILES,83,,,,,1,0,0,0,0,0,188,179,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,25,23,-99,3,0,-88,0,6660,6404,0,179,3,-88,-88,,
110900000,PIKE COUNTY,AL,23382,19748,3634,-88,,2079,118,711,40,1108,0,3,DUPLICATE PROFILES,95,OTHER,1,,,-99,-99,0,0,0,0,86,79,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,38,38,-99,29,9,-88,20,8163,7967,3,79,9,-88,-88,,
111100000,RANDOLPH COUNTY,AL,18303,16110,2193,-88,,1653,72,556,27,902,1,0,DUPLICATE PROFILES,93,OTHER,1,,,3,0,-99,-99,-99,-99,3,56,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,16,24,-99,2,2,-88,0,6633,6428,1,56,2,-88,-88,,
111300000,RUSSELL COUNTY,AL,43219,34598,8621,-88,,3640,165,938,83,2285,0,7,DUPLICATE PROFILES,157,,,NOT A US CITIZEN,1,4,0,0,0,0,0,192,147,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,17,17,-99,6,0,-88,6,11652,11123,4,147,0,-88,-88,,
111500000,ST. CLAIR COUNTY,AL,69073,63935,5138,-88,,4643,243,2060,83,1637,2,79,DUPLICATE PROFILES,363,OTHER,4,NOT A US CITIZEN,1,8,0,0,0,0,0,318,194,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,32,30,-99,36,22,-88,12,27986,27244,0,194,22,-88,-88,,
111700000,SHELBY COUNTY,AL,167980,154051,13929,-88,,9797,681,3201,126,5472,1,0,DUPLICATE PROFILES,303,OTHER,7,,,-99,2,0,0,0,0,1185,1025,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,38,38,-99,84,56,-88,28,70417,68377,185,1025,56,-88,-88,,
111900000,SUMTER COUNTY,AL,9639,8282,1357,-88,,786,15,290,8,461,0,0,DUPLICATE PROFILES,12,,,,,0,0,-77,-77,-77,-77,159,168,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,24,13,-99,2,1,-88,1,3924,3684,0,168,1,-88,-88,,
112100000,TALLADEGA COUNTY,AL,59110,53203,5907,-88,,4306,183,2015,82,1696,0,58,DUPLICATE PROFILES,266,OTHER,2,NOT A US CITIZEN,2,0,0,-77,-77,-77,-77,301,268,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,26,26,-99,43,21,-88,22,21716,21188,0,268,21,-88,-88,,
112300000,TALLAPOOSA COUNTY,AL,31822,28605,3217,-88,,2913,112,1188,46,1068,0,2,DUPLICATE PROFILES,497,,,,,6,0,0,0,0,0,320,275,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,29,26,-99,15,12,-88,3,13671,13126,15,275,12,-88,-88,,
112500000,TUSCALOOSA COUNTY,AL,148046,126874,21172,-88,,11985,584,3542,175,7370,0,12,DUPLICATE PROFILES,296,OTHER,4,,,34,1,1,0,0,0,967,858,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,55,54,-99,119,56,-88,63,51828,50147,16,858,56,-88,-88,,
112700000,WALKER COUNTY,AL,47917,43568,4349,-88,,4141,66,1963,48,1845,0,18,DUPLICATE PROFILES,178,,,,,10,0,0,0,0,0,208,188,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,46,45,-99,78,49,-88,29,17760,17328,6,188,49,-88,-88,,
112900000,WASHINGTON COUNTY,AL,13484,12286,1198,-88,,1129,34,412,26,482,0,8,DUPLICATE PROFILES,166,,,,,2,0,0,0,0,0,75,58,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,31,19,-99,6,6,-88,0,5974,5775,0,58,6,-88,-88,,
113100000,WILCOX COUNTY,AL,8665,8303,362,-88,,978,238,335,13,324,1,4,DUPLICATE PROFILES,35,OTHER,12,,,2,0,0,0,0,0,425,375,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,36,24,-99,12,4,-88,8,3889,3377,0,375,4,-88,-88,,
113300000,WINSTON COUNTY,AL,17216,16105,1111,-88,,1522,74,677,42,564,0,2,DUPLICATE PROFILES,159,NOT A US CITIZEN,2,,,3,0,0,0,0,0,72,66,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,18,18,-99,1,1,-88,0,6961,6787,5,66,1,-88,-88,,
